date,t9,t12,t15,tmax_day,precip_day,cloud_day
2016-05-01,48.4,52.2,48.7,52.2,0.03,99
2016-05-02,46.8,50.1,48.3,50.8,0.15,100
2016-05-03,45.8,48.2,48.5,48.5,0.11,100
2016-05-04,46.5,47.6,47.1,48.2,0.02,100
2016-05-05,43.7,46.0,45.9,46.2,0.03,100
2016-05-06,48.0,52.2,53.4,53.4,0.0,94
2016-05-07,46.6,49.4,50.8,51.1,0.03,100
2016-05-08,53.9,57.0,57.9,59.2,0.11,68
2016-05-09,49.8,55.6,59.9,60.9,0.01,65
2016-05-10,51.9,60.8,67.1,67.7,0.0,52
2016-05-11,59.9,67.5,72.4,72.9,0.0,0
2016-05-12,60.0,69.1,74.2,74.4,0.0,23
2016-05-13,61.0,65.8,71.0,71.0,0.08,100
2016-05-14,62.3,71.4,74.5,74.5,0.0,63
2016-05-15,50.7,54.3,57.0,57.0,0.01,52
2016-05-16,44.6,49.4,53.3,54.8,0.0,96
2016-05-17,55.9,62.0,66.3,66.4,0.0,98
2016-05-18,55.2,61.5,64.1,64.4,0.0,63
2016-05-19,56.1,63.4,65.7,65.7,0.03,55
2016-05-20,61.5,69.1,70.3,70.7,0.0,52
2016-05-21,64.9,70.0,69.9,70.0,0.0,91
2016-05-22,59.0,61.7,63.8,63.9,0.09,76
2016-05-23,65.5,72.0,72.3,72.3,0.0,58
2016-05-24,53.9,54.9,56.7,58.1,0.13,100
2016-05-25,65.2,78.9,85.1,85.8,0.0,6
2016-05-26,73.3,80.7,83.5,83.5,0.0,84
2016-05-27,69.9,80.4,79.8,85.5,0.0,96
2016-05-28,78.0,87.4,89.7,89.8,0.0,96
2016-05-29,63.4,70.3,65.6,72.3,0.0,100
2016-05-30,59.6,63.5,69.0,72.2,0.63,100
2016-05-31,73.7,80.3,83.1,83.1,0.0,57
2016-06-01,68.0,72.0,70.9,72.2,0.0,92
2016-06-02,58.3,65.8,68.5,68.5,0.0,69
2016-06-03,60.0,65.4,69.4,70.6,0.0,100
2016-06-04,68.4,78.1,78.7,80.1,0.0,99
2016-06-05,64.6,65.3,62.9,65.3,0.22,100
2016-06-06,69.2,75.3,79.0,79.0,0.0,34
